"Totala utsläpp av växthusgaser efter växthusgas, sektor och år"

"växthusgas","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",7878.3,7868.9,7995.4,7968.3,7902.9,7815.5,7826.0,7771.5,7655.8,7467.0,7302.5,7231.7,6981.4,6765.4,6781.2,6589.0,6473.8,6201.9,5934.6,5766.5,5650.3,5488.2,5298.3,5208.5,5089.7,4948.9,4875.1,4843.6,4819.6,4627.2,4552.7
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",7879.2,7869.6,7996.2,7969.2,7903.9,7816.7,7827.1,7772.7,7657.1,7468.3,7303.8,7232.9,6982.4,6766.6,6782.7,6590.5,6475.5,6203.5,5936.4,5768.4,5652.0,5489.8,5299.8,5210.0,5091.3,4950.3,4876.6,4845.2,4829.8,4639.0,4564.7
"Metan (CH4) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",13.2,13.3,13.2,12.9,12.8,12.8,12.9,12.9,13.0,12.9,12.7,12.4,12.5,12.4,12.4,12.2,13.2,13.6,13.7,13.2,12.5,11.6,10.7,9.9,9.4,9.1,9.0,8.9,8.6,8.3,8.2
"Metan (CH4) (kt CO2-ekv.)","AVFALL, TOTALT",3466.4,3522.4,3527.3,3414.2,3279.2,3274.6,3246.6,3215.0,3166.0,3035.5,2943.2,2890.9,2704.4,2552.2,2524.8,2371.9,2281.0,2091.7,1824.8,1726.5,1614.8,1506.3,1366.1,1263.8,1139.8,1040.9,961.4,899.5,836.0,733.6,678.1
"Metan (CH4) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",15.6,17.9,14.3,17.5,20.0,20.6,27.8,23.0,24.4,24.2,23.1,28.1,31.4,34.3,34.0,37.5,40.9,40.8,43.6,48.7,54.7,45.5,46.7,47.3,41.4,41.7,45.5,45.5,47.0,46.7,45.4
"Metan (CH4) (kt CO2-ekv.)","INDUSTRI, TOTALT",128.9,142.6,144.0,145.4,150.1,137.7,133.6,131.8,135.4,131.2,126.0,137.9,129.7,113.7,125.8,116.1,116.0,116.3,103.6,98.8,94.9,90.9,98.0,91.7,83.3,81.6,80.6,79.1,76.1,75.9,77.6
"Metan (CH4) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",162.5,169.7,158.6,139.0,144.1,132.4,128.7,115.9,109.7,101.6,90.1,83.4,77.2,71.7,65.9,62.5,57.9,53.9,50.3,46.6,42.9,38.2,30.2,29.2,28.1,27.6,28.0,27.7,28.0,37.6,46.0
"Metan (CH4) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",0.8,0.8,0.8,0.8,1.0,1.2,1.1,1.2,1.4,1.4,1.3,1.2,1.0,1.3,1.5,1.5,1.7,1.6,1.8,1.8,1.7,1.6,1.5,1.5,1.5,1.3,1.5,1.7,10.1,11.8,12.1
"Metan (CH4) (kt CO2-ekv.)","JORDBRUK, TOTALT",3519.9,3429.1,3564.3,3664.4,3724.4,3658.1,3697.9,3693.2,3644.3,3603.5,3549.6,3527.0,3471.8,3428.0,3469.5,3441.6,3417.7,3355.4,3364.3,3316.0,3317.1,3288.1,3252.8,3272.2,3268.4,3255.9,3253.1,3284.3,3271.6,3223.8,3202.7
"Metan (CH4) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Metan (CH4) (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",108.3,110.8,111.1,111.8,109.2,115.4,116.0,108.1,102.5,92.2,91.6,85.5,86.5,87.5,87.3,85.9,82.5,77.6,75.2,76.0,75.1,74.7,70.0,69.4,65.6,62.0,63.4,62.2,53.4,53.6,52.2
"Metan (CH4) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",463.5,463.0,462.6,463.2,463.1,463.8,462.6,471.6,460.5,465.9,466.1,466.4,468.0,465.5,461.4,461.1,464.6,452.6,459.1,440.6,438.3,432.9,423.7,425.0,453.8,430.2,434.0,436.5,498.8,447.6,442.5
